full_name,forks
"""p4lang/tutorials""",429.0
"""jafingerhut/p4-guide""",139.0
"""Princeton-Cabernet/p4-projects""",49.0
"""p4lang/p4-applications""",36.0
"""kevinbird61/p4-researching""",20.0
"""Ox-EngSci/CWM-ProgNets""",13.0
"""SketchLib/P4_SketchLib""",13.0
"""muhe1991/p4-programs-survey""",13.0
"""ebiken/p4srv6""",12.0
"""AmedeoSapio/DAIET""",11.0
"""CMCCyanyu/open-G-SRv6-P4""",11.0
"""MehmedGIT/INT-InBand-Network-Telemetry-""",11.0
"""aclapolli/ddosd-p4""",11.0
"""ovant/CWM-ProgNets""",11.0
"""netx-ulx/NDN.p4-16""",9.0
"""HyperVDP/HyperV""",8.0
"""fcm-project/fcm_p4""",8.0
"""opencord/p4se""",8.0
"""signorello/NDN.p4""",8.0
"""801room/upf_p4_poc""",7.0
"""chenxiang2019/The-Road-to-P4""",7.0
"""praveingk/DPTP""",7.0
"""Brown-NSG/P4Visor""",6.0
"""IITH-Compilers/P4LLVM""",6.0
"""ccascone/onos-p4-dev""",6.0
"""ralfkundel/p4-codel""",6.0
"""verified-network-toolchain/petr4""",6.0
"""FZU-SDN/block.p4""",5.0
"""P4-Research/p4-demos""",5.0
"""ProbabilisticINT/Tofino-PINT""",5.0
"""jafingerhut/p4lang-tests""",5.0
"""rare-freertr/RARE-bmv2""",5.0
"""Yi-Tseng/p4-dpdk-target-notes""",4.0
"""chinatelecom-sdn-group/PPPoE_using_P4""",4.0
"""cslev/p4extern""",4.0
"""intrig-unicamp/macsad-usecases""",4.0
"""jafingerhut/tutorials""",4.0
"""open-nfpsw/p4_basic_lb_metering_nic""",4.0
"""p4gauntlet/gauntlet""",4.0
"""sonata-queries/sonata-queries""",4.0
"""vxxx03/IFIPNetworking20""",4.0
"""yotamhc/p4tutorials""",4.0
"""zhangmenghao/p4research""",4.0
"""DINGDAMU/Network-wide-heavy-hitter-detection""",3.0
"""HyperVDP/Hyper4""",3.0
"""MehmedGIT/P4_COPY_TO_CPU""",3.0
"""Safaamahrach/DDoS_Flooding_Attack_Mitigation_in_Software_Defined_Networks""",3.0
"""chenxiang2019/vt""",3.0
"""clickp4/clickp4""",3.0
"""cslev/p4_double_precision""",3.0
"""eniac/Speedlight""",3.0
"""fernandabonetti/INT""",3.0
"""hiwang123/HappyFlowFriends""",3.0
"""hypertester/hypertester""",3.0
"""keemeew/Approximated-Fair-Queuing""",3.0
"""leandrocalmeida/InbandNetworkTelemetry-P4""",3.0
"""mkwjoh004uct/A-Time-Sensitive-network-Switch-Implementation-using-P4""",3.0
"""multip4/MultiSwitch""",3.0
"""netcope/netcope-p4""",3.0
"""nsg-ethz/ditto""",3.0
"""open-nfpsw/M-Sketch""",3.0
"""p4-programs/MatReduce-examples""",3.0
"""p4lang/hackathons""",3.0
"""p4lang/pna""",3.0
"""tatry/INT-BMv2""",3.0
"""zhangmenghao/NetGuard""",3.0
"""Bash009/P4""",2.0
"""COMSYS/pie-for-tofino""",2.0
"""IETF-Hackathon/p4-ipv6-switch-ml""",2.0
"""Lambda-NIC/lambda_nic""",2.0
"""MountainShan/P4-14-OpenFlow-Example""",2.0
"""NIKSS-vSwitch/nikss-demo""",2.0
"""P4NUTA/2022-2023-network-programming-k34202-efimov_p_l""",2.0
"""acnbell/pi2forp4""",2.0
"""alefais/rtt-18-sdn""",2.0
"""andxeg/p4-program""",2.0
"""anshuman23/p4_r2r""",2.0
"""bidyut1990/cs740project""",2.0
"""conweave-project/conweave-p4""",2.0
"""cslev/p4debug""",2.0
"""daehyeok-kim/redplane-public""",2.0
"""diogocampos/p4-data-flow""",2.0
"""ecwolf/p4_robot""",2.0
"""harshgondaliya/PSasCP""",2.0
"""irtf-coinrg/rg-materials""",2.0
"""kframework/p4-semantics""",2.0
"""mandaryoshi/p4-int""",2.0
"""multip4/P4-SFC""",2.0
"""mzj14/CacheP4-Test""",2.0
"""netx-repo/QPipe""",2.0
"""open-nfpsw/p4wire""",2.0
"""purdue-cs536/spring-2021/public""",2.0
"""sammyjmoseley/P4-StreamProcessing""",2.0
"""seclabBupt/P4lab""",2.0
"""sshen3/P4_ml_project""",2.0
"""thuliangjz/p4_tutorial""",2.0
"""yyasuda/P4Runtime-firstbite""",2.0
"""824728350/tutorials""",1.0
"""Andrea-Serafini/netprog-p4""",1.0
"""BlakeLawson/decoy_switch""",1.0
"""CyprienGueyraud/Towards-In-Network-Semantic-Analysis-A-Case-Study-involving-Spam-Classification""",1.0
"""DINGDAMU/P4Entropy""",1.0
"""DuoxingLI/rdma-mirror""",1.0
"""EJLin190/P4_Program""",1.0
"""Elmo-MCast/p4-programs""",1.0
"""EricDracula/p4-projects""",1.0
"""FredShi97/p4""",1.0
"""Froot-NetSys/Jaqen""",1.0
"""GEANT-DataPlaneProgramming/ddos-detection""",1.0
"""Geetork/2022_2023-network_programming-k34202-li-g""",1.0
"""GlaiChen/p4lang_memcached_load_balancer""",1.0
"""Grace-TL/p4-guide""",1.0
"""Harvard-CS145/cs145-23-project7""",1.0
"""JJK96/P4-filtering""",1.0
"""JeckyOH/Packet_score""",1.0
"""JonghwanHyun/p4-applications""",1.0
"""JunnanLi/l2-learning-switch""",1.0
"""KB00100100/ddosd-p4""",1.0
"""KeladKaal/2022_2023-network_programming-K34202-migulaeva-t-a""",1.0
"""MSERIDI/L3_FWD""",1.0
"""MaoJianwei/P4-example-code""",1.0
"""Muthuramane/spgw.p4""",1.0
"""PINetDalhousie/netpixel""",1.0
"""RaymondHuang210129/Enhancing-Transport-Security-through-Content-Permutation-with-P4""",1.0
"""RaymondHuang210129/Side-Project-Heavy-Hitter-with-P4""",1.0
"""Seoyul-OH/bnn_rnn_inference_in_programmable_switches""",1.0
"""ShailendraKK/PredictSignalQuality""",1.0
"""Sketchovsky/source_code""",1.0
"""ThePuriProdigy/cram""",1.0
"""TrietTran1701/Packet-Reflector---P4-Utils""",1.0
"""UHH-ISS/RA-Guard""",1.0
"""USTC-INT/p4app-GRID""",1.0
"""ZhiYiFang/p4ids""",1.0
"""Zhou-Yuhong/p4-msi""",1.0
"""aalsabeh/P4-DGA-Multiclass""",1.0
"""acctontms/acctontms""",1.0
"""achsu3/p4_basic_outputs""",1.0
"""alex1230608/DASH""",1.0
"""alexathomases/keyValStore""",1.0
"""alksarioglou/p4_network_programming""",1.0
"""amar-almaini/Delegation-of-Authentication-to-the-Data-Plane-in-SDN""",1.0
"""anon-qp/example""",1.0
"""anonymity12/p4-guide""",1.0
"""antoninbas/p4-dpdk""",1.0
"""antonjlin/p4-go""",1.0
"""bakkarol/P4_DDoS""",1.0
"""cheetahlb/cheetah-p4""",1.0
"""cheetahlb/cheetah-p4-quic""",1.0
"""chenxiang2019/ElasticSketch""",1.0
"""chenxiang2019/prads4""",1.0
"""chrispsommers/p4-guide""",1.0
"""commlab513/P4-Inband-Network""",1.0
"""cornell-netlab/sigcomm23-tutorial""",1.0
"""cslev/p4register""",1.0
"""davidcawork/P4Tutorial""",1.0
"""dbhat/lcndemo2018""",1.0
"""dhulfiqarelte/p4-codel""",1.0
"""emdneto/dh-aes-p4""",1.0
"""ericthewry/homework03""",1.0
"""flexmesh/FlexMesh""",1.0
"""fmerizzi/P4_Link_Monitoring""",1.0
"""fmerizzi/asymmetrical_flow_windows""",1.0
"""giancarloliver/hash-custom""",1.0
"""goish135/ddosd-p4""",1.0
"""hakiri/p4-researching""",1.0
"""harshgondaliya/burstradar""",1.0
"""hassepedro/polka-tofino""",1.0
"""hczhou574/Mew-prototype""",1.0
"""hesingh/mnkcg""",1.0
"""hotephen/p4-dev""",1.0
"""hyojoonkim/Meta4""",1.0
"""ike-kunze/rg-materials""",1.0
"""imsoboy2/TRE-PRO""",1.0
"""in-band-telemetry-optimization-problem/into""",1.0
"""intrig-unicamp/IPGNET""",1.0
"""jafingerhut/p4-learning""",1.0
"""jiarong0907/Ripple""",1.0
"""jsonch/p4_code""",1.0
"""jx3948/P4-on-BMv2-Quick-Start""",1.0
"""katcheng902/ring-buffer-hw""",1.0
"""khooi8913/dsketch""",1.0
"""khooi8913/p4-ebpf-no-ping""",1.0
"""khooi8913/p4-guide""",1.0
"""khooi8913/p4-learning""",1.0
"""khooi8913/rdma-multicast""",1.0
"""liuzhengzheng12/heavy_hitter""",1.0
"""luinaudt/Unleashing_FPGA""",1.0
"""lzhtan/FindINT""",1.0
"""mahfida/Switches""",1.0
"""mew-anonymous/Mew-prototype""",1.0
"""mikiisz/p4runtime-in-action""",1.0
"""mkrason01/int_p4""",1.0
"""mtpsa/mtpsa-examples""",1.0
"""nasa/SDN-HDTN""",1.0
"""netsys-lab/ddos-detection-sketches-p4""",1.0
"""networked-systems-iith/ACN-CS5060""",1.0
"""netx-ulx/P4-tools""",1.0
"""netx-ulx/P4Visor""",1.0
"""ob1ank/paco""",1.0
"""ohnowade/p4-DXR""",1.0
"""open-nfpsw/flexnic""",1.0
"""peterrpkth/P4-Excercies""",1.0
"""purdue-cs422/spring-2022/public""",1.0
"""purdue-cs422/spring-2023/public""",1.0
"""ramonfontes/p4-projects""",1.0
"""rinku-shah/p4-guide""",1.0
"""ronaldo0010/Mitigating-SYN-Flood""",1.0
"""rutgerbeltman/telemetry-rdma-p4-switch""",1.0
"""sarashakeri/P4-uniqueid""",1.0
"""signorello/myP4repo""",1.0
"""slaki/nsdi22""",1.0
"""snehal-shyamsukha/P4""",1.0
"""steakhal/fastreact.p4app""",1.0
"""theUltraMarine19/p4aqm""",1.0
"""ting2313/p4-researching""",1.0
"""tuananh01/SP-PIFO""",1.0
"""uni-tue-kn/p4-protect""",1.0
"""usi-systems/subset-matching""",1.0
"""vnatesh/Packet-StreamSQL""",1.0
"""wangshicheng1225/P4research""",1.0
"""wei-coding/p4lang-practice""",1.0
"""wnlUc3m/slicing-srv6""",1.0
"""z-lu2017/heavy-hitter-detection""",1.0
"""ziseputi/upf_p4_poc""",1.0
"""zoxerus/phd_postcard_telemetry""",1.0
"""zxc215/Bucket""",1.0
"""07wdzyxc/p4-guide""",0.0
"""0x1bdat/tutorials""",0.0
"""10212/FindINT""",0.0
"""106368401-JIANG-JIAN-SYUN/p4c""",0.0
"""1101293857/tutorials""",0.0
"""1293392741/tutorials""",0.0
"""1355158565/p4""",0.0
"""15102339474/p4-applications""",0.0
"""1911416-GuoYuhan/tutorials""",0.0
"""1star2stars/tutorials""",0.0
"""2016Ruben/HyperV""",0.0
"""5GApp/mnkcg""",0.0
"""646040754/open-G-SRv6-P4""",0.0
"""785150084/p4-learning""",0.0
"""7daysss/tutorials""",0.0
"""824728350/p4-learning""",0.0
"""ADaisz/tutorials""",0.0
"""ANTLab-polimi/ONOS-FlowBlaze""",0.0
"""ARD92/p4-guide""",0.0
"""AWoLnik/cpsc435-switch-cache""",0.0
"""Aakasha01Agarwal/Random_forest_in_P4""",0.0
"""Aaron9925/alioth-app""",0.0
"""Abhinav-Mahajan10/Advanced-and-Faster-ECN""",0.0
"""AbhishekPragada/P4""",0.0
"""AbuJabal-Hussein/P4PI-L2-Enhanced-Switch""",0.0
"""AcollaMolla/Basic-forwarding""",0.0
"""AcollaMolla/Basic-tunneling""",0.0
"""Adnei/p4-program-template""",0.0
"""Agurman1/CWM-ProgNets""",0.0
"""Ahmed-Robaid/tutorials""",0.0
"""AkFormat/up4""",0.0
"""AlanCristhian/color-data""",0.0
"""Alessandro101296/p4-Thesis""",0.0
"""Alex3John/P4_SketchLib""",0.0
"""Alex3John/tutorials""",0.0
"""AlexBernstein/p4c""",0.0
"""AlexGirshfeld/p4tutorials""",0.0
"""AlexanderGZW/AlexanderGZW.github.io""",0.0
"""AlexanderKudinov/2022_2023-network_programming-K34202-kudinov-a-v""",0.0
"""AliMazloum/P4-Security-Applications""",0.0
"""Ali_Meh619/software-defined-networking-course""",0.0
"""AlibabaResearch/x-plane-5g-upf""",0.0
"""Aljoby/DiffPerf""",0.0
"""AlperKaan35/p4-learning""",0.0
"""AmazingBJ/INT-BMv2""",0.0
"""AmazingBJ/INT-InBand-Network-Telemetry-""",0.0
"""AmazingBJ/p4-guide""",0.0
"""AmithGspn/p4lang-tests""",0.0
"""AndyLu98/tutorials""",0.0
"""AnirbanBanik1998/NDN.p4-16""",0.0
"""Ankushpeer2002/tutorials""",0.0
"""AntLab-Repo/dDrops""",0.0
"""AntLab-Repo/pHeavy""",0.0
"""AntLab-Repo/sketchPro""",0.0
"""Apoorv1986/Shortcut""",0.0
"""Archor001/GuardianP4""",0.0
"""ArielWu0203/P4_cuckoo""",0.0
"""ArielWu0203/p4-researching""",0.0
"""ArifulIslamPreence/SD-FAST-Dataplane---test""",0.0
"""ArifulIslamPreence/dataplane-failure-detection""",0.0
"""Artemchikus/2022_2023-network_programming-k34202-filippov_a_a""",0.0
"""AsciiPro99/p4-projects""",0.0
"""AshLeung/p4-parser""",0.0
"""AshishPandey90/tutorials""",0.0
"""Ashlyn-Li/CWM-ProgNets""",0.0
"""Ashwin901/P4-Major-Project""",0.0
"""Ateixs/tutorials""",0.0
"""Ayvanez/2022_2023-network_programming-K34212-Mikhailov_I_YU""",0.0
"""BYGX-wcr/Speedlight""",0.0
"""Bangyan-Zhang/p4-programs-survey""",0.0
"""BasedJacob/Firewall-and-Network-Intrusion""",0.0
"""BebeShen/p4-guide""",0.0
"""BebeShen/p4-learning""",0.0
"""BebeShen/tutorials""",0.0
"""BelmY/slicing-srv6""",0.0
"""Ben-Kwak/Firewall-and-Intrusion-Detection-using-P4""",0.0
"""BenChenVT/tutorials""",0.0
"""Benature/BeauCoup""",0.0
"""Benature/Tofino-PINT""",0.0
"""Beu-Wolf/NC-Switches""",0.0
"""BinChenn/DAIET""",0.0
"""Blandine11/p4-learning""",0.0
"""Bokai-Ji/CCGNN""",0.0
"""BorjaRuanes/tutorials""",0.0
"""BrightMirror666/myProject""",0.0
"""BrunoChatras/Trainings""",0.0
"""ByungUkMin/p4-encryption""",0.0
"""ByungUkMin/p4-guide""",0.0
"""CANIS-NAU/sigcomm_tutorials""",0.0
"""CHITANDAy/tutorials""",0.0
"""CMinda/tutorials""",0.0
"""COMSYS/coordinate-transformation""",0.0
"""COMSYS/tofino-spin-bit-tracker""",0.0
"""CS344-Stanford/p4c""",0.0
"""CSEYJ/Network-wide-heavy-hitter-detection""",0.0
"""CYBrianCU/p4-guide""",0.0
"""CYBrianCU/p4-learning""",0.0
"""CaT-mindepth/benchmarks""",0.0
"""CassandraDacha/ITMP""",0.0
"""CavalryXD/p4-projects""",0.0
"""Chalkydoge/p4-projects""",0.0
"""Chalkydoge/tutorials""",0.0
"""Chandru2468/Microcontroller_VTU_LAB_Programs""",0.0
"""Changgang-Zheng/P4-Examples""",0.0
"""Changgang-Zheng/tutorials""",0.0
"""CharlesHan24/CompNet-project""",0.0
"""Charlie110/p4-applications""",0.0
"""Charlotte-Crame/CWM-ProgNets""",0.0
"""Chen-Alex/CS-6114-Final""",0.0
"""ChengShihKun/ddosd-p4""",0.0
"""Chenganzhuo/open-G-SRv6-P4""",0.0
"""ChiaYuanChang/109B_mininet_note""",0.0
"""ChiuHsiaChang/Virtualized-Networks""",0.0
"""ComputerNetworkSystem/tutorials""",0.0
"""ComputerNetworks-UFRGS/p4-data-flow""",0.0
"""CrackedPoly/p4-tutorials""",0.0
"""DGeorgeNetro/p4c""",0.0
"""DINGDAMU/INDDoS""",0.0
"""DINGDAMU/NetSoft_tutorial_2022""",0.0
"""DINGDAMU/P4Log_and_P4Exp""",0.0
"""DINGDAMU/P4NEntropy""",0.0
"""DINGDAMU/p4-learning""",0.0
"""DINGDAMU/telemetry-rdma-p4-switch""",0.0
"""DSPhnb/P4-example-code""",0.0
"""DSPhnb/p4-programs""",0.0
"""DanilLutsenko/p4c""",0.0
"""DeKusi/2022_2023-network_programming-k34202-anisimova_k_a""",0.0
"""Deverluck/P4B""",0.0
"""Deviiiiant/p4-learning""",0.0
"""DiegoRossiMafioletti/macsad-usecases""",0.0
"""DiegoRossiMafioletti/p4-learning""",0.0
"""Dscano/GTPV1-P4""",0.0
"""Dscano/p4-guide""",0.0
"""Dubez/tutorials""",0.0
"""DudaSeq/P4Visor""",0.0
"""Durbek-Gafur/P4-VCC""",0.0
"""Eidinish/p4-msi""",0.0
"""EkberAksu/Copy_to_CPU_with_Runtime_IP_Configuration""",0.0
"""Elbediwy/tutorials""",0.0
"""Elihai-asks/tutorials""",0.0
"""Elmo-MCast/example-programs""",0.0
"""Elwin-zhao/tutorials""",0.0
"""Eric-Wei-10/p4tutorial""",0.0
"""Etenanl/Distibute""",0.0
"""Etenanl/distribute_sketch""",0.0
"""Evansvn/p4-guide""",0.0
"""EvelinaWang/CWM-ProgNets""",0.0
"""Excel3884/p4-projects""",0.0
"""FC2912/CWM-ProgNets""",0.0
"""FZU-SDN/MatReduce-examples""",0.0
"""FZhg/P4-tutorials""",0.0
"""FZhg/source-routing-INT""",0.0
"""Fangjin98/p4-projects""",0.0
"""Fangjin98/tutorials""",0.0
"""FelixSandmair/tutorials""",0.0
"""FengNu/p4ids""",0.0
"""Firefly8/tutorials""",0.0
"""FlorianC31/AFDX_P4_QoS""",0.0
"""Freedom4501/p4-applications""",0.0
"""GEANT-DataPlaneProgramming/int-platform-dpdk""",0.0
"""Gao2000/P4_HeavyHitter""",0.0
"""Gao2000/ddosd-p4""",0.0
"""Gao2000/tutorials""",0.0
"""Gengtianru123/onos-p4-dev""",0.0
"""Gengtianru123/p4-guide""",0.0
"""GlaiChen/tutorials""",0.0
"""GordonWuCn/tutorials""",0.0
"""GreenieQwQ/NDN.p4""",0.0
"""GuangyuPeng/Approximated-Fair-Queuing""",0.0
"""HH41/acl_improve""",0.0
"""HH41/firewall_improve""",0.0
"""HH41/mrc""",0.0
"""HHHH-Hui/P4""",0.0
"""HITECHNOTACH/p4c""",0.0
"""HL1123/tutorials""",0.0
"""HML-GUET/tutorials""",0.0
"""Hajdulord/p4-in-network-memory""",0.0
"""HakanUnal1/tutorials""",0.0
"""Hao-Ding-6/P4Project""",0.0
"""Harim-H/petr4""",0.0
"""Harvard-CS145/cs145-21-project7""",0.0
"""Harvard-CS145/cs145-23-project0""",0.0
"""HarvestWu/tutorials""",0.0
"""Hasegawa-Laboratory/ChaCha-Tofino""",0.0
"""Helderjfl/artefatos-ValiCUDA""",0.0
"""HenokBerhanu/p4-guide""",0.0
"""Hewaxira/p4-projects""",0.0
"""Hewaxira/tutorials-1""",0.0
"""HsinYuHuang/Microburst""",0.0
"""HungChen0510745/P4-BufferManagement""",0.0
"""Hunk0724/P4OracleMain""",0.0
"""Hxiaofei96/Open-Tofino""",0.0
"""Hxiaofei96/tutorials""",0.0
"""HyperClassifier/HyperClassifier""",0.0
"""IDP-code/NetBeacon""",0.0
"""IDP-code/p4-guide""",0.0
"""ImbaPlayer/DNS_Tunnel""",0.0
"""ImbaPlayer/Meta4""",0.0
"""ImbaPlayer/p4-guide""",0.0
"""ImbaPlayer/p4-projects""",0.0
"""Invincibleyc/tutorials""",0.0
"""IvanLisigcomm/p4-projects""",0.0
"""JacobJohansen/tutorials""",0.0
"""JaiOCP/p4-guide""",0.0
"""Jakub-Golinowski/DAIET""",0.0
"""James92618/acctontms""",0.0
"""Jan-nku/p4-tutorials""",0.0
"""Janene-Li/Network-wide-heavy-hitter-detection""",0.0
"""Janene-Li/tutorials""",0.0
"""JasonJiang91/tutorials""",0.0
"""JehandadKhan/marple""",0.0
"""JesseRengers/tutorials""",0.0
"""Jiacheng/p4-programs-survey""",0.0
"""Jmt1995/Tofino-PINT""",0.0
"""Joaquim-Macedo/tutorials""",0.0
"""JoeNoneString/papers""",0.0
"""Johnny-dai-git/tutorials""",0.0
"""JonghwanHyun/p4-guide""",0.0
"""Joshua-00724/tutorials""",0.0
"""JosiahMg/p4c""",0.0
"""JuDCraide/tutorials""",0.0
"""Julyo-O/p4-guide""",0.0
"""KB00100100/P4NIS""",0.0
"""KB00100100/VLI""",0.0
"""KIZI-01/p4lang-tutorials-exercises_Food-for-thought_answer""",0.0
"""KTrel/p4c""",0.0
"""KVStoreResearch/p4-projects""",0.0
"""KaiLv16/P4-ticket-snatching""",0.0
"""KaiLv16/P4lab""",0.0
"""KaiLv16/conweave-p4""",0.0
"""KaiLv16/p4-projects""",0.0
"""Kefka12/acl""",0.0
"""Kefka12/tutorials""",0.0
"""Keishin-Matsushita/p4-urlfiltering""",0.0
"""KevinPan0508/SDN""",0.0
"""KeySight-P4/KeyAnalyzer""",0.0
"""KinStona/tutorials""",0.0
"""KingsCooober/p4-guide""",0.0
"""Kundjanasith/DAIET""",0.0
"""Kuribohrn/public""",0.0
"""L-Law1iet/NTUST-SDN""",0.0
"""L-Law1iet/P4-SVM""",0.0
"""L-Law1iet/P4_ml_project""",0.0
"""LCXI/p4-guide""",0.0
"""LCXI/p4-learning""",0.0
"""LCXI/tutorials""",0.0
"""LGN520/p4-learning""",0.0
"""LLRH/onos-p4-dev""",0.0
"""LOOM-LB/Loom""",0.0
"""LRH93/onos-p4-dev-1""",0.0
"""L_Dahlberg/PPV_PIE_AQM""",0.0
"""La-Joya/p4-learning""",0.0
"""LangfordCheng/p4-learning""",0.0
"""Laraltair/source-multicast""",0.0
"""LaviBenshimol/cloud""",0.0
"""Lazarrita/CWM-ProgNets""",0.0
"""LexxaPressF/2022-2023-network-programming-k34202-efimov_p_l""",0.0
"""LexxaPressF/2022_2023-network_programming-k34202-malyshev_a_a""",0.0
"""LiPeio-o/p4-guide""",0.0
"""LiPeio-o/tutorials""",0.0
"""Linerd/tutorials""",0.0
"""Lineson/DAIET""",0.0
"""LittleD3092/p4-adding-from-2-hosts""",0.0
"""LoSgu8/L4-load-Balancer""",0.0
"""LolkeBoonstra/P4-Template""",0.0
"""Longxiao-Zhang/Open-Tofino""",0.0
"""Longxiao-Zhang/gauntlet""",0.0
"""Longxiao-Zhang/p4-applications""",0.0
"""Longxiao-Zhang/p4-learning""",0.0
"""Longxiao-Zhang/p4-researching""",0.0
"""Longxiao-Zhang/p4_tutorial""",0.0
"""Longxiao-Zhang/polka-tofino""",0.0
"""LordJatonyas/CWM-ProgNets""",0.0
"""LoserFeng/myINT""",0.0
"""LourensVeen/P4-uniqueid""",0.0
"""Luc-Dierick/tutorials""",0.0
"""Lunananama/P4-gauntlet""",0.0
"""Luxzero/NDN.p4-16""",0.0
"""Luxzero/p4-guide""",0.0
"""M-Arimase/p4-learning""",0.0
"""MEI27/p4debug""",0.0
"""MEI27/tutorials""",0.0
"""MNC-pub/p4-dev""",0.0
"""MNCHr/4-6-4_tunneling""",0.0
"""MNCHr/Hyper4""",0.0
"""MNCHr/HyperV""",0.0
"""MNCHr/netcope-p4""",0.0
"""MNCHr/netre""",0.0
"""MNCHr/p4srv6_ebiken""",0.0
"""MSERIDI/L3_fwd2""",0.0
"""MaXinyu1/tutorials""",0.0
"""MahadevanMD/p4-guide""",0.0
"""MahadevanMD/p4-programs-survey""",0.0
"""MahadevanMD/p4lang-tests""",0.0
"""Makise-Chris/network-slicing-p4""",0.0
"""MalonSkin/open-G-SRv6-P4""",0.0
"""Manasa-Kulkarni-396/Load-Balanacing-in-P4""",0.0
"""Manasa-Kulkarni-396/onos-p4-dev""",0.0
"""MaoJianwei/P4-example-code""",0.0
"""Marlou16/p4-tutorial""",0.0
"""Maroju100/tutorials""",0.0
"""Master-COLLiDER/NDN.p4-16""",0.0
"""Master-COLLiDER/Packet-Reflector---P4-Utils""",0.0
"""Master-COLLiDER/p4_network_programming""",0.0
"""Master-COLLiDER/simple_p4""",0.0
"""MateusBragatto/INT-FirstVersion""",0.0
"""MateusBragatto/INT-SecondVersion""",0.0
"""MatteoYang2002/tutorials""",0.0
"""MichaelBun/tutorials""",0.0
"""MichaelHoeflmaier/p4-learning""",0.0
"""Milind-Blaze/p4_tutorial""",0.0
"""MingLiangYang/p4c""",0.0
"""Mingyumaz/CCHC""",0.0
"""Mingyumaz/p4-applications""",0.0
"""Mingyumaz/p4-codel""",0.0
"""Mingyumaz/p4-guide""",0.0
"""Mingyumaz/p4-tutorials""",0.0
"""Misanthropel/system-bighomework""",0.0
"""Misanthropel/systerm-test""",0.0
"""Mitsui921/webUI""",0.0
"""MitsuiYang/p4-guide""",0.0
"""Mohit-Gajjar/tutorials""",0.0
